vectorization,model,accuracy,precision_loved,recall_loved,f1_loved,cv_f1_macro
TF-IDF,Logistic Regression,0.7863610584162869,0.9460056657223797,0.7873714986324625,0.8594296891085031,0.7119095043384407
TF-IDF,Multinomial NB,0.8658400641464417,0.8718050617025727,0.9827643119871734,0.9239653299638669,0.6716009028942853
Word2Vec,Gaussian NB,0.7886100952418204,0.9261116953860259,0.8097472413467887,0.864029184225423,0.6958031875800269
Word2Vec,Logistic Regression,0.7813349500322688,0.9435087619642705,0.7832688861642931,0.855953929993172,0.7005064690487939
